iter	Passed	Remaining
409	4003	5761
410	4013	5752
411	4021	5739
412	4031	5729
413	4039	5717
414	4047	5705
415	4057	5696
416	4066	5684
417	4076	5675
418	4086	5665
419	4093	5653
420	4104	5644
421	4113	5634
422	4124	5625
423	4134	5616
424	4144	5607
425	4152	5595
426	4162	5585
427	4170	5573
428	4178	5561
429	4188	5552
430	4196	5539
431	4206	5530
432	4214	5518
433	4221	5505
434	4231	5496
435	4239	5483
436	4250	5476
437	4259	5466
438	4268	5454
439	4278	5445
440	4286	5432
441	4295	5423
442	4305	5413
443	4313	5401
444	4322	5391
445	4330	5379
446	4339	5368
447	4348	5358
448	4357	5347
449	4367	5337
450	4377	5328
451	4386	5318
452	4397	5309
453	4407	5300
454	4415	5288
455	4425	5279
456	4433	5267
457	4440	5254
458	4449	5244
459	4457	5233
460	4467	5223
461	4475	5211
462	4483	5200
463	4493	5190
464	4501	5178
465	4512	5170
466	4522	5161
467	4530	5150
468	4541	5141
469	4552	5133
470	4561	5123
471	4573	5115
472	4583	5106
473	4592	5096
474	4600	5084
475	4610	5075
476	4619	5064
477	4628	5054
478	4639	5046
479	4649	5036
480	4657	5025
481	4666	5014
482	4674	5003
483	4683	4993
484	4691	4981
485	4700	4971
486	4716	4968
487	4727	4959
488	4734	4947
489	4744	4938
490	4753	4927
491	4760	4915
492	4770	4905
493	4779	4895
494	4788	4885
495	4795	4872
496	4803	4861
497	4813	4852
498	4821	4841
499	4831	4831
500	4841	4822
501	4850	4811
502	4860	4802
503	4868	4790
504	4876	4779
505	4885	4769
506	4892	4757
507	4904	4749
508	4913	4739
509	4921	4728
510	4930	4718
511	4938	4706
512	4947	4696
513	4954	4684
514	4962	4673
515	4971	4663
516	4978	4651
517	4989	4642
518	4996	4630
519	5005	4620
520	5015	4611
521	5023	4600
522	5033	4590
523	5041	4579
524	5049	4568
525	5057	4557
526	5065	4546
527	5074	4536
528	5082	4525
529	5092	4515
530	5099	4503
531	5107	4493
532	5117	4483
533	5125	4472
534	5134	4462
535	5142	4451
536	5151	4441
537	5160	4431
538	5169	4421
539	5178	4411
540	5187	4401
541	5196	4391
